Catégorie;Identifiant;Surface;Volume;Localisation;Matériau
Murs;327219;1.2129007999999957;0.1232307212799996;Intérieur;
Murs;327267;10.395399139295854;1.056172552552455;Intérieur;
Murs;327316;8.780172187991852;0.8920654942999691;Intérieur;
Murs;327364;8.047026679323901;0.817577910619308;Intérieur;
Murs;345485;3.881282559999999;0.3943383080960001;Intérieur;
Plafonds;270265;16.831477811950965;0.6412785009579751;;
Plafonds;270299;11.609976780000073;0.44234011531800277;;
Plafonds;270334;15.128155940172507;0.5763827413205725;;
Plafonds;270396;5.560161682378231;0.2118414145212061;;
Plafonds;270432;12.42839291086281;0.473521769903873;;
Plafonds;270467;2.887427008418855;0.11001096902075837;;
Plafonds;309130;11.147739591113446;0.4247288784214222;;
Sols;10585;87.9814891569087;22.347298245854766;;
Sols;11585;3.680637800000044;0.467441000600003;;
